Category,Venue name,Address,Phone number,Note
THU GOM VỎ MỲ TÔM GÓI TẠI HÀ NỘI,Dũng Sĩ Tái Chế Việt Nam,"tòa nhà N9, chung cư Đồng Tàu, Thịnh Liệt, Hoàng Mai, Hà Nội",0343787174,
ỐNG HÚT NHỰA ĐÃ QUA SỬ DỤNG,Café Little Fish House,"Nhà số 4, ngách 41, ngõ 32 đường Bưởi, Ba Đình(parking) / cuối ngõ 101 Đào Tấn, Hà Nội",,
ỐNG HÚT NHỰA ĐÃ QUA SỬ DỤNG,Grape Garden,"61 Trần Điền, Định Công, Hoàng Mai, Hà Nội",,
ỐNG HÚT NHỰA ĐÃ QUA SỬ DỤNG,Shebeen,"Số 46/76 An Dương, Tây Hồ, Hà Nội",,
ỐNG HÚT NHỰA ĐÃ QUA SỬ DỤNG,Home38,"số 38 Quảng Bá, Tây Hồ",,
SÁCH GIÁO KHOA CŨ,,"ố 3B Phố Quang Trung, Hoàn Kiếm, HN ",0913005297,NHẬN vào các ngày trong tuần vào giờ hành chính + Sáng T7 và BÁN vào 8:30 sáng T7 hàng tuần.
SÁCH GIÁO KHOA CŨ,,"Tổ 12 Thạch Bàn, đi vào cổng trường cấp 3 Thạch Bàn, khu tái định cư, đối diện đường sang Hanoi garden. ",098.3610.639,NHẬN và BÁN vào 2h các chiều CN
SÁCH GIÁO KHOA CŨ,,"Quầy thuốc Hoàng Hà, Khu phố 12, Thị Trấn Hàng Trạm, Yên Thủy, Hòa Bình",094 3836725,
SÁCH GIÁO KHOA CŨ,,Ngách a1/126 Hoàng Quốc Việt,0169.482.5982,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",Tổng kho,"Ngõ 277 Đào Cam Mộc, thị trấn Đông Anh",0911 599 595 hoặc 098 543 5553,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",Tổng kho,"Nhà số 1, ngõ 73, đường An Đào C, Trâu Quỳ, Gia Lâm, Hà Nội",0869.689.905,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Nơ 23, khu đô thị Pháp Vân, Hoàng Mai, Hà Nội.",035.455.7188,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Tòa nhà HH2 Meco Complex ngõ 102 Trường Chinh, Thanh Xuân, Hà Nội",096.102.6202,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Chùa Ổi, thôn Văn Giáp, xã Văn Bình, huyện Thường Tín, Hà Nội",039.5803.922,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Phòng 305, nhà 5T4, khu chung cư Vinaconex, Xuân Mai, xã Thuỷ Xuân Tiên, Chương Mỹ, Hà Nội.",096.668.6811,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Số 228 Đường Uy Nỗ, thị trấn Đông Anh, huyện Đông Anh",0973441291,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Số 2, ngõ 173 phố Tam Trinh, phường Mai Động",,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Phòng 305, nhà 5T4, khu chung cư Vinaconex, Xuân Mai, xã Thuỷ Xuân Tiên, Chương Mỹ",0966 686 811,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,Thanh Xuân Số 6 Ngõ 52 Phố Lê Trọng Tấn,0913010511,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Nhà số 10, liền kề 32 khu đô thị Vân Canh, Vân Canh",0902260968,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"số 15 ngõ 105 Hồng Hà, Ba Đình, Hà Nội",0972408185,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"47/96 Bùi Đình Túy, F24, Bình Thạnh, TP HCM",,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Chung cư D5, số 24 đường D5, F25, Bình Thạnh, TP HCM",,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"Cà Phê An Xanh, 58/9 Trương Định, Phường Bến Thành, Quận 1, TP HCM",,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"693 Kha Vạn Cân, Phường Linh Tây, Thủ Đức, TP HCM",,
"THU GOM VỎ HỘP SỮA, VỎ ĐỒ UỐNG - TETRA PAK + ỐNG HÚT",điểm thu gom lẻ,"E 019 Chung Cư Sơn Kỳ, đường CC5 Phường Sơn Kỳ, Tân Phú, TP HCM",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND Phường 9, Quận 3 (82 Bà Huyện Thanh Quan, P.9, Q.3)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND Phường 15, Quận 4 (132 Tôn Thất Thuyết, P.15, Q.4)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND Phường 17, Quận Phú Nhuận (22 Nguyễn Văn Trỗi, P.17, Q.Phú Nhuận)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND Phường 2, Quận Bình Thạnh (14 Phan Bội Châu, P.2, Q.Bình Thạnh)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"Trung Tâm MM Mega Market An Phú (Khu B, KĐT mới An Phú-An Khánh, P.An Phú, Q.2)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"Nhà Văn hóa phường Nghĩa Tân, Quận Cầu Giấy (45 Nghĩa Tân, P.Nghĩa Tân, Q.Cầu Giấy)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND phường Tràng Tiền, Quận Hoàn Kiếm (02 Cổ Tân, P. Tràng Tiền, Q. Hoàn Kiếm)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND phường Quán Thánh, Quận Ba Đình(12-14 Phan Đình Phùng, P.Quán Thánh, Q.Ba Đình)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"UBND phường Thành Công, Quận Ba Đình (09 Thành Công, P.Thành Công, Q.Ba Đình)",,
THU GOM RÁC THẢI ĐIỆN TỬ,,"Chi Cục Bảo Vệ Môi Trường Hà Nội. (17 Trung Yên 3, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội.)",,
QUẦN ÁO CŨ,,420 Tây Sơn,,
QUẦN ÁO CŨ,,Ngõ 123 Trần Đăng Ninh,,
QUẦN ÁO CŨ,,"19 đường Quảng An, Tây Hồ (gần trường mầm non Shining Star)",,
QUẦN ÁO CŨ,,"Số 3 Ngõ Mai Hương, Bạch Mai, gần công ty môi trường",,
QUẦN ÁO CŨ,,Trước cửa số 136 Âu Cơ,,
QUẦN ÁO CŨ,,"Ngõ 25 Vũ Ngọc Phan, Láng Hạ (cạnh cổng trường mầm non)",,
QUẦN ÁO CŨ,,"32 Cầu Bươu, ngay giữa siêu thị Media Mart và Viettel Store (liên hệ bạn Hài 037452381)",,
QUẦN ÁO CŨ,,Bệnh viện Thanh Nhàn,,
QUẦN ÁO CŨ,,Bệnh viện K3 Tân Triều,,
QUẦN ÁO CŨ,,D9 Ngọc Phách,,
QUẦN ÁO CŨ,,"Số 10, ngõ 72, Dương Quảng Hàm, Cầu Giấy",,
QUẦN ÁO CŨ,,"Nhà 45, ngách 1/211 Khương Trung, Thanh Xuân, HN,",0349727024,
QUẦN ÁO CŨ,,226 Bà Triệu,,
QUẦN ÁO CŨ,,70 Thái Hà,,
QUẦN ÁO CŨ,GIAN DON - Simple ,"164 Yên Hoa, Quận Tây Hồ ",,thời gian 9h - 20h
QUẦN ÁO CŨ,Clever Changes ,"tầng 2 số 28 Cù Chính Lan, Quận Thanh Xuân ",,thời gian từ 14 - 19h
